Date,Adj Close
2018-05-01,40.918182373046875
2018-05-02,42.72575378417969
2018-05-03,42.80318069458008
2018-05-04,44.48249816894531
2018-05-07,44.804325103759766
2018-05-08,45.01968765258789
2018-05-09,45.33667755126953
2018-05-10,45.98516845703125
2018-05-11,45.81027603149414
2018-05-14,45.70339584350586
2018-05-15,45.288028717041016
2018-05-16,45.71067810058594
2018-05-17,45.42162322998047
2018-05-18,45.25644302368164
2018-05-21,45.577083587646484
2018-05-22,45.462913513183594
2018-05-23,45.75441360473633
2018-05-24,45.70339584350586
2018-05-25,45.8078498840332
2018-05-29,45.64267349243164
2018-05-30,45.545509338378906
2018-05-31,45.3924674987793
2018-06-01,46.2110710144043
